"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","2","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","entertainmentSystem","entertainmentSystem",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","2","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","2","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendCommunication","sendCommunication",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","19","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateCard","validateCard",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.SpaceShipTest","com.costa.luiz.testng.SpaceShipTest","checkMeasureToBeMetric","Check the measure to be metric",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","rollbackATransaction","rollbackATransaction",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","brakes","brakes",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","3","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateTransaction","validateTransaction",""
"passed","Mon Mar 06 06:30:41 GMT 2023","Mon Mar 06 06:30:41 GMT 2023","2","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","dontFixMe","dontFixMe",""
